window_id,container_id,machine_id,anomaly_score,ae_only_label,gpt_label,severity,top_k_features,explanation,recommended_action
70027,c_13275,m_2523,9.896001,anomaly,anomaly,medium,"['mem_gps', 'mpki', 'disk_io', 'cpi', 'cpu_util']","The window shows a credible multivariate anomaly driven by mem_gps, mpki, disk_io.",Correlate the top metrics with service logs and check for resource contention.
153237,c_13590,m_811,11.704093,anomaly,anomaly,medium,"['mem_gps', 'disk_io', 'cpi', 'mpki', 'cpu_util']","The window shows a credible multivariate anomaly driven by mem_gps, disk_io, cpi.",Correlate the top metrics with service logs and check for resource contention.
41984,c_26546,m_1903,16.877968,anomaly,anomaly,high,"['mem_gps', 'disk_io', 'cpi', 'mpki', 'cpu_util']","The anomaly score is far above threshold and the strongest deviations are mem_gps, disk_io, cpi.","Treat this as an active incident, triage the affected container, and consider mitigation."
42663,c_26776,m_1924,19.119314,anomaly,anomaly,high,"['mem_gps', 'disk_io', 'cpu_util', 'net_in', 'cpi']","The anomaly score is far above threshold and the strongest deviations are mem_gps, disk_io, cpu_util.","Treat this as an active incident, triage the affected container, and consider mitigation."
81839,c_29214,m_2808,15.489549,anomaly,anomaly,medium,"['mem_gps', 'disk_io', 'cpi', 'mem_util', 'net_in']","The window shows a credible multivariate anomaly driven by mem_gps, disk_io, cpi.",Correlate the top metrics with service logs and check for resource contention.
54191,c_10714,m_2208,8.515226,anomaly,needs_review,low,"['mem_gps', 'disk_io', 'cpi', 'mem_util', 'cpu_util']","The anomaly is weak but persistent enough to review. Main contributors: mem_gps, disk_io, cpi.","Inspect the recent workload change, deployment diff, and container logs."
79829,c_16470,m_2742,6.1352158,anomaly,needs_review,low,"['mem_gps', 'disk_io', 'mpki', 'cpu_util', 'cpi']","The anomaly is weak but persistent enough to review. Main contributors: mem_gps, disk_io, mpki.","Inspect the recent workload change, deployment diff, and container logs."
79989,c_10123,m_2754,5.534552,anomaly,false_positive,none,"['mem_gps', 'disk_io', 'cpi', 'mpki', 'net_in']","Reconstruction error only marginally exceeded threshold, so the alert is likely noise.",Keep monitoring and require repeated threshold crossings before escalation.
77045,c_11474,m_2672,7.473462,anomaly,needs_review,low,"['mem_gps', 'disk_io', 'mpki', 'cpi', 'cpu_util']","The anomaly is weak but persistent enough to review. Main contributors: mem_gps, disk_io, mpki.","Inspect the recent workload change, deployment diff, and container logs."
120697,c_21255,m_3708,8.371488,anomaly,needs_review,low,"['mem_gps', 'disk_io', 'cpi', 'mpki', 'cpu_util']","The anomaly is weak but persistent enough to review. Main contributors: mem_gps, disk_io, cpi.","Inspect the recent workload change, deployment diff, and container logs."
